ALL_ID	PHE_NAME	BETA	SE	T_STAT	P	ADJ_P
DQA1_103	AST_ALT_ratio	-0.0171196	0.00555318	-3.08284	0.00205051	0.12336396528115254
C_1601	AST_ALT_ratio	-0.0184421	0.00609472	-3.02592	0.002479	0.14546216696659484
C_102	AST_ALT_ratio	0.020100200000000002	0.00693208	2.89958	0.00373685	0.20715143882194445
B_5201	AST_ALT_ratio	0.049158600000000004	0.018063299999999997	2.72146	0.00649972	0.3303559596025364
C_1202	AST_ALT_ratio	0.047088599999999994	0.0181091	2.60027	0.00931551	0.441977018626198
C_1203	AST_ALT_ratio	-0.0197017	0.00758784	-2.59648	0.00941888	0.44595207928006797
DRB1_402	AST_ALT_ratio	0.0641064	0.0248872	2.5758799999999997	0.00999886	0.46587781531541606
DPB1_1301	AST_ALT_ratio	-0.027074200000000003	0.0105255	-2.57226	0.010104299999999998	0.46968144311026144
C_501	AST_ALT_ratio	0.0101321	0.00395037	2.56486	0.0103223	0.4784290608419705
DPB1_202	AST_ALT_ratio	0.0384061	0.015178299999999999	2.53032	0.0113962	0.5172678008378241
A_2402	AST_ALT_ratio	-0.0122994	0.00491393	-2.50295	0.0123166	0.5491929623013474
DQB1_302	AST_ALT_ratio	0.0101403	0.00411866	2.46203	0.0138157	0.6024984478903935
DRB5_202	AST_ALT_ratio	-0.0367055	0.015554499999999999	-2.35981	0.0182851	0.7524256458109054
DPB1_1101	AST_ALT_ratio	-0.0178069	0.00788667	-2.25785	0.0239557	0.9247140680022742
DRB1_1601	AST_ALT_ratio	-0.0395994	0.0178455	-2.21902	0.026486400000000004	0.9954648173990691
DRB1_1104	AST_ALT_ratio	0.0296445	0.013414600000000002	2.20987	0.0271151	1.0
B_5101	AST_ALT_ratio	-0.0148947	0.00685321	-2.1734	0.0297512	1.0
C_202	AST_ALT_ratio	0.014542099999999999	0.00674758	2.15515	0.0311507	1.0
A_2608	AST_ALT_ratio	0.09823	0.04798	2.04731	0.0406283	1.0
DRB4_103	AST_ALT_ratio	-0.00587393	0.0029652	-1.9809599999999998	0.0475967	1.0
C_1502	AST_ALT_ratio	-0.018411900000000002	0.00979514	-1.87969	0.0601506	1.0
B_5501	AST_ALT_ratio	0.0175894	0.00939923	1.87136	0.0612955	1.0
C_802	AST_ALT_ratio	-0.0124916	0.00676363	-1.8468799999999999	0.06476509999999999	1.0
B_4701	AST_ALT_ratio	-0.0417488	0.0227794	-1.83274	0.06684169999999999	1.0
B_4402	AST_ALT_ratio	0.00733176	0.00400184	1.8321	0.0669379	1.0
B_1401	AST_ALT_ratio	-0.021503	0.0118238	-1.8186099999999998	0.0689717	1.0
DRB1_403	AST_ALT_ratio	-0.0805529	0.0458674	-1.7562099999999998	0.0790536	1.0
DRB1_103	AST_ALT_ratio	-0.017309099999999997	0.00985925	-1.7556200000000002	0.0791548	1.0
B_4501	AST_ALT_ratio	0.0272716	0.015610599999999999	1.74699	0.0806402	1.0
B_1501	AST_ALT_ratio	0.00923308	0.00531725	1.7364400000000002	0.0824873	1.0
A_3001	AST_ALT_ratio	-0.0216474	0.0125251	-1.72832	0.0839315	1.0
DRB1_1103	AST_ALT_ratio	0.0470259	0.0272673	1.7246299999999999	0.0845954	1.0
A_2501	AST_ALT_ratio	-0.018090799999999997	0.0105279	-1.7183700000000002	0.0857309	1.0
A_3303	AST_ALT_ratio	0.050915499999999995	0.0300145	1.6963700000000002	0.0898177	1.0
C_303	AST_ALT_ratio	0.00939625	0.00554465	1.69465	0.0901427	1.0
B_1518	AST_ALT_ratio	-0.0626353	0.0385568	-1.62449	0.104271	1.0
DRB1_404	AST_ALT_ratio	0.010609799999999999	0.00657723	1.61311	0.10672100000000001	1.0
A_205	AST_ALT_ratio	-0.023596000000000002	0.014745	-1.60027	0.10954100000000001	1.0
C_1701	AST_ALT_ratio	0.034692900000000006	0.022372200000000002	1.55072	0.12097100000000001	1.0
B_2702	AST_ALT_ratio	-0.07742589999999999	0.0500956	-1.54556	0.12221099999999999	1.0
B_3801	AST_ALT_ratio	-0.0236783	0.015341200000000001	-1.54344	0.122725	1.0
DRB1_1401	AST_ALT_ratio	0.0144673	0.00938533	1.54148	0.123201	1.0
B_1302	AST_ALT_ratio	-0.014117500000000002	0.0091619	-1.5408899999999999	0.12334400000000001	1.0
DQB1_502	AST_ALT_ratio	-0.0237146	0.0159347	-1.48824	0.136689	1.0
DRB1_806	AST_ALT_ratio	0.07748569999999999	0.0537903	1.44051	0.149723	1.0
DPA1_105	AST_ALT_ratio	0.076052	0.053031600000000005	1.4340899999999999	0.151548	1.0
DRB1_405	AST_ALT_ratio	-0.026547300000000003	0.0187762	-1.41388	0.157398	1.0
B_1801	AST_ALT_ratio	0.00963894	0.00682931	1.41141	0.158126	1.0
B_5108	AST_ALT_ratio	-0.07456560000000001	0.0528799	-1.41009	0.15851300000000001	1.0
DQA1_303	AST_ALT_ratio	0.060837699999999995	0.043191900000000005	1.40854	0.158971	1.0
A_2901	AST_ALT_ratio	-0.0610863	0.0439295	-1.39055	0.16436199999999998	1.0
DPB1_901	AST_ALT_ratio	0.039124400000000004	0.0283777	1.3787	0.167987	1.0
DRB1_1201	AST_ALT_ratio	0.014470400000000001	0.010725799999999999	1.34912	0.1773	1.0
A_2902	AST_ALT_ratio	-0.00836928	0.0062143	-1.3467799999999999	0.178053	1.0
C_401	AST_ALT_ratio	0.00601239	0.00455118	1.3210600000000001	0.18648199999999998	1.0
DRB1_102	AST_ALT_ratio	-0.019344200000000002	0.014865	-1.3013299999999999	0.193147	1.0
A_3402	AST_ALT_ratio	-0.052053800000000004	0.041813499999999997	-1.24491	0.213168	1.0
DRB3_301	AST_ALT_ratio	-0.00812811	0.006637899999999999	-1.2245	0.22076500000000002	1.0
DRB1_803	AST_ALT_ratio	0.0311168	0.0257786	1.20708	0.227402	1.0
A_3101	AST_ALT_ratio	-0.00914189	0.00778483	-1.17432	0.240267	1.0
B_705	AST_ALT_ratio	-0.0412125	0.03544509999999999	-1.1627100000000001	0.244946	1.0
B_3701	AST_ALT_ratio	0.012681999999999999	0.011039499999999999	1.14878	0.25064699999999995	1.0
A_3201	AST_ALT_ratio	0.00788471	0.00687053	1.14761	0.251129	1.0
DPB1_1601	AST_ALT_ratio	-0.034757300000000005	0.0306094	-1.13551	0.256162	1.0
DPB1_1001	AST_ALT_ratio	0.0118875	0.0104754	1.1348	0.25646199999999997	1.0
DPB1_501	AST_ALT_ratio	0.00984528	0.00893379	1.1020299999999998	0.270451	1.0
DRB1_1302	AST_ALT_ratio	-0.00726288	0.00660913	-1.0989200000000001	0.271805	1.0
B_1517	AST_ALT_ratio	0.0329515	0.030709500000000004	1.07301	0.28326799999999996	1.0
A_6802	AST_ALT_ratio	0.0173118	0.016519700000000002	1.0479399999999999	0.294665	1.0
DPB1_1901	AST_ALT_ratio	-0.018067700000000003	0.0173708	-1.0401200000000002	0.29828699999999997	1.0
DRB1_1102	AST_ALT_ratio	0.030560200000000003	0.029827999999999997	1.02455	0.305577	1.0
DQA1_601	AST_ALT_ratio	0.0250167	0.0252768	0.9897090000000001	0.322317	1.0
DPA1_104	AST_ALT_ratio	0.018105200000000002	0.018462400000000004	0.98065	0.326766	1.0
DQB1_304	AST_ALT_ratio	0.0361217	0.036929199999999995	0.978133	0.328009	1.0
DRB1_1001	AST_ALT_ratio	-0.0161635	0.0166465	-0.970983	0.331557	1.0
A_6801	AST_ALT_ratio	0.00703074	0.00734745	0.9568959999999999	0.338621	1.0
A_301	AST_ALT_ratio	0.00321424	0.00357267	0.899673	0.368295	1.0
B_1402	AST_ALT_ratio	-0.00723409	0.00805041	-0.8986	0.368867	1.0
DPA1_202	AST_ALT_ratio	0.0062506	0.00731163	0.854885	0.392615	1.0
C_1402	AST_ALT_ratio	-0.0111867	0.013206	-0.847092	0.396945	1.0
A_2601	AST_ALT_ratio	-0.00831144	0.00990261	-0.839318	0.401292	1.0
C_1604	AST_ALT_ratio	-0.0451156	0.0541025	-0.833892	0.404343	1.0
B_5801	AST_ALT_ratio	-0.0149014	0.0178909	-0.8329030000000001	0.4049	1.0
B_4102	AST_ALT_ratio	0.0177717	0.0217815	0.815909	0.41455299999999995	1.0
DQB1_609	AST_ALT_ratio	-0.0100435	0.0126336	-0.794983	0.426624	1.0
DQB1_504	AST_ALT_ratio	0.0268546	0.0339693	0.790555	0.429204	1.0
DPB1_1501	AST_ALT_ratio	0.0118975	0.015251400000000002	0.780092	0.435337	1.0
C_304	AST_ALT_ratio	0.00360582	0.00466173	0.7734949999999999	0.43923	1.0
B_3906	AST_ALT_ratio	0.0112144	0.015587	0.7194729999999999	0.47185	1.0
B_4101	AST_ALT_ratio	0.0202267	0.028652099999999996	0.705941	0.480225	1.0
DRB1_901	AST_ALT_ratio	0.00764389	0.0110647	0.6908380000000001	0.48966800000000005	1.0
DQB1_604	AST_ALT_ratio	-0.00529275	0.00772284	-0.685338	0.49313100000000004	1.0
A_3004	AST_ALT_ratio	-0.0274005	0.0406274	-0.674434	0.5000359999999999	1.0
DRB1_1303	AST_ALT_ratio	0.00931584	0.013921700000000002	0.669158	0.503395	1.0
DRB1_407	AST_ALT_ratio	0.020817500000000003	0.032026400000000003	0.6500090000000001	0.515687	1.0
B_3503	AST_ALT_ratio	0.00950208	0.0147423	0.644545	0.519223	1.0
B_3508	AST_ALT_ratio	0.0270473	0.043274599999999996	0.625016	0.531961	1.0
DPB1_1401	AST_ALT_ratio	0.00954657	0.015279599999999999	0.624792	0.532108	1.0
B_3502	AST_ALT_ratio	-0.0215528	0.03856230000000001	-0.55891	0.576224	1.0
DQB1_503	AST_ALT_ratio	0.00479905	0.00862765	0.556241	0.578046	1.0
DPB1_401	AST_ALT_ratio	0.00141018	0.00264019	0.5341199999999999	0.593259	1.0
DPB1_2001	AST_ALT_ratio	0.022048500000000002	0.0457746	0.481675	0.630037	1.0
B_1503	AST_ALT_ratio	-0.024608900000000003	0.0525895	-0.46794300000000005	0.639826	1.0
A_3301	AST_ALT_ratio	-0.00767872	0.0171083	-0.44883100000000004	0.653554	1.0
A_6601	AST_ALT_ratio	-0.0101677	0.023883099999999997	-0.425727	0.670307	1.0
A_211	AST_ALT_ratio	0.0219347	0.051673300000000005	0.42448800000000003	0.6712100000000001	1.0
B_4901	AST_ALT_ratio	-0.00450562	0.0118742	-0.379448	0.7043560000000001	1.0
C_1505	AST_ALT_ratio	0.0158634	0.0528802	0.299987	0.764187	1.0
B_3901	AST_ALT_ratio	0.00438039	0.0163277	0.26828	0.788484	1.0
B_5301	AST_ALT_ratio	0.00679713	0.0261426	0.260002	0.794862	1.0
B_4001	AST_ALT_ratio	-0.00142252	0.00550343	-0.25848000000000004	0.796037	1.0
A_202	AST_ALT_ratio	0.012581499999999999	0.0488266	0.257678	0.796656	1.0
B_5601	AST_ALT_ratio	-0.00555206	0.0251588	-0.22068000000000002	0.825341	1.0
DPB1_301	AST_ALT_ratio	-0.000911725	0.00520338	-0.175218	0.860909	1.0
A_302	AST_ALT_ratio	-0.00632839	0.0389082	-0.162649	0.8707950000000001	1.0
DPB1_201	AST_ALT_ratio	0.0006664539999999999	0.00435661	0.152975	0.878418	1.0
DQA1_401	AST_ALT_ratio	0.00103067	0.00911297	0.113099	0.9099520000000001	1.0
C_704	AST_ALT_ratio	0.00097384	0.00956817	0.101779	0.918932	1.0
B_4405	AST_ALT_ratio	0.00374868	0.037865800000000005	0.098999	0.9211389999999999	1.0
DRB1_804	AST_ALT_ratio	-0.00407647	0.0442326	-0.09215980000000001	0.9265709999999999	1.0
DRB1_801	AST_ALT_ratio	0.000821135	0.00969465	0.0846998	0.9325	1.0
DQB1_402	AST_ALT_ratio	-0.000614359	0.00899452	-0.0683037	0.945544	1.0
B_4002	AST_ALT_ratio	-0.0007244660000000001	0.014441299999999999	-0.0501664	0.95999	1.0
A_206	AST_ALT_ratio	0.000679875	0.0303842	0.022376	0.9821479999999999	1.0
DPB1_2301	AST_ALT_ratio	-0.000880516	0.043764	-0.0201196	0.9839479999999999	1.0
C_302	AST_ALT_ratio	0.000587491	0.0352255	0.016678	0.9866940000000001	1.0
C_1602	AST_ALT_ratio	-0.000323125	0.031090499999999997	-0.010393000000000001	0.991708	1.0
DQA1_501	Alanine_aminotransferase	-0.0262577	0.00303159	-8.66136	4.68349e-18	2.2776475154229366e-15
B_4403	Alanine_aminotransferase	0.039949	0.00535664	7.45785	8.81704e-14	2.947897851591857e-11
DRB1_301	Alanine_aminotransferase	-0.0237327	0.00352582	-6.73113	1.68639e-11	4.228719721652044e-09
DRB4_9901	Alanine_aminotransferase	0.017762200000000002	0.00264504	6.7152899999999995	1.88007e-11	4.6778378305874964e-09
B_5701	Alanine_aminotransferase	0.0417393	0.00647741	6.44383	1.16664e-10	2.555995534119086e-08
DQB1_201	Alanine_aminotransferase	-0.0226577	0.00352458	-6.42847	1.29076e-10	2.7920700958266355e-08
B_801	Alanine_aminotransferase	-0.0228331	0.0035738	-6.38903	1.67168e-10	3.56514747306666e-08
C_701	Alanine_aminotransferase	-0.0188206	0.00328916	-5.722	1.05371e-08	1.7941989562198486e-06
DQB1_604	Alanine_aminotransferase	0.0440023	0.00771068	5.70667	1.1531100000000001e-08	1.932692728684186e-06
DRB4_103	Alanine_aminotransferase	0.0163557	0.00295902	5.52738	3.25308e-08	5.118296359325838e-06
DRB1_1302	Alanine_aminotransferase	0.035387300000000003	0.00659896	5.36255	8.211059999999999e-08	1.2173127688545394e-05
DRB3_301	Alanine_aminotransferase	0.0352597	0.0066278000000000005	5.31998	1.0385e-07	1.511676144666635e-05
DQB1_602	Alanine_aminotransferase	-0.0192787	0.00362876	-5.31275	1.08056e-07	1.5693415226941745e-05
DQA1_201	Alanine_aminotransferase	0.0185664	0.0035631	5.21075	1.88201e-07	2.6320860862703305e-05
DRB3_9901	Alanine_aminotransferase	-0.013829499999999998	0.00266051	-5.19806	2.0150099999999997e-07	2.811967017196081e-05
DRB1_701	Alanine_aminotransferase	0.018399799999999997	0.0035622	5.16529	2.4020900000000003e-07	3.330420970395589e-05
A_2301	Alanine_aminotransferase	0.050097300000000004	0.00972888	5.1493400000000005	2.6155999999999997e-07	3.595384123822991e-05
DRB5_9901	Alanine_aminotransferase	-0.0179695	0.00349908	-5.1355	2.81568e-07	3.8375428437708594e-05
DRB3_202	Alanine_aminotransferase	-0.019246400000000004	0.00375319	-5.12801	2.92994e-07	3.9763850688397565e-05
C_1601	Alanine_aminotransferase	0.030005	0.00608376	4.93199	8.14388e-07	0.00010111874499791346
DRB5_101	Alanine_aminotransferase	-0.017103599999999997	0.00356913	-4.79209	1.6512900000000001e-06	0.0001948566803273628
DRB1_1501	Alanine_aminotransferase	-0.016752799999999998	0.00357821	-4.68189	2.84353e-06	0.00032364548947625755
DRB3_101	Alanine_aminotransferase	-0.0157138	0.00336265	-4.673030000000001	2.96909e-06	0.00033674238177284143
DPB1_202	Alanine_aminotransferase	-0.06880660000000001	0.015155100000000001	-4.54015	5.62345e-06	0.0006097783201692581
DPB1_301	Alanine_aminotransferase	0.0227148	0.0051898000000000005	4.3768	1.2047400000000001e-05	0.0012314719798426593
C_702	Alanine_aminotransferase	-0.014948699999999999	0.00344535	-4.33881	1.4330299999999999e-05	0.0014396113844316323
DRB1_102	Alanine_aminotransferase	0.061281600000000006	0.0148446	4.12821	3.6569099999999995e-05	0.0033779989072844916
B_702	Alanine_aminotransferase	-0.0145077	0.0035394	-4.09892	4.151890000000001e-05	0.0037966413632299777
DRB1_1101	Alanine_aminotransferase	-0.03277619999999999	0.00806117	-4.065930000000001	4.78521e-05	0.004300504566821505
C_401	Alanine_aminotransferase	0.0182728	0.00454267	4.022480000000001	5.76012e-05	0.005093141694271877
DRB1_404	Alanine_aminotransferase	0.0252765	0.00656355	3.8510400000000002	0.00011764100000000001	0.009807511603350848
C_602	Alanine_aminotransferase	0.0168606	0.00439121	3.8396199999999996	0.000123246	0.010248171412706973
DRB1_1502	Alanine_aminotransferase	-0.0743865	0.0195637	-3.8022699999999996	0.00014340200000000002	0.011756669093217733
DQB1_501	Alanine_aminotransferase	0.014552	0.00384472	3.78493	0.000153783	0.01249603076697448
B_4001	Alanine_aminotransferase	0.0207456	0.00549231	3.77722	0.000158618	0.012856363296080319
DQB1_601	Alanine_aminotransferase	-0.0733053	0.019516400000000003	-3.7560800000000003	0.000172625	0.013903886645530677
DQA1_101	Alanine_aminotransferase	0.012977200000000001	0.00359131	3.6135099999999998	0.000302127	0.023423406197719463
DRB4_101	Alanine_aminotransferase	0.0170296	0.00477431	3.5669199999999996	0.00036125400000000003	0.02741152198271303
A_3002	Alanine_aminotransferase	-0.0438245	0.0128012	-3.42345	0.000618389	0.04455278939786749
A_1101	Alanine_aminotransferase	-0.017888	0.00527979	-3.38801	0.000704098	0.05010919448221333
DQA1_301	Alanine_aminotransferase	0.010507899999999999	0.00312574	3.36174	0.00077462	0.053583561716077144
B_5201	Alanine_aminotransferase	-0.060288	0.018024099999999998	-3.34485	0.000823353	0.05616778492790695
C_1202	Alanine_aminotransferase	-0.0588674	0.0180672	-3.2582400000000002	0.00112116	0.07321581908548454
DPB1_1101	Alanine_aminotransferase	0.0255864	0.00787353	3.24967	0.00115551	0.0751531872696885
B_1402	Alanine_aminotransferase	0.025601799999999997	0.00803898	3.18471	0.00144913	0.09155972669551553
A_2902	Alanine_aminotransferase	0.0192273	0.00620378	3.09928	0.00194006	0.11782325663095523
C_304	Alanine_aminotransferase	0.0140179	0.00465259	3.01293	0.0025876	0.15109800471462786
DPB1_1701	Alanine_aminotransferase	0.0358282	0.011978299999999999	2.9910799999999997	0.0027800999999999998	0.16121433089438555
B_5101	Alanine_aminotransferase	0.020099400000000003	0.00684136	2.93792	0.00330447	0.18772158748084167
DRB1_901	Alanine_aminotransferase	-0.0323592	0.0110519	-2.92792	0.00341267	0.19216765547653863
DRB1_101	Alanine_aminotransferase	0.0127682	0.00437121	2.92097	0.00348965	0.19581533262084927
B_1801	Alanine_aminotransferase	-0.019634799999999997	0.00681799	-2.87985	0.00397891	0.219244667262332
DQB1_302	Alanine_aminotransferase	0.0117913	0.00411076	2.86841	0.00412569	0.22578205865325243
DPA1_201	Alanine_aminotransferase	0.00989475	0.00355109	2.7864	0.00533003	0.2802236836581663
C_1502	Alanine_aminotransferase	0.0269149	0.00977866	2.75241	0.00591623	0.30603008018804156
C_802	Alanine_aminotransferase	0.0178805	0.00675222	2.6481	0.00809496	0.39788940820504787
A_3301	Alanine_aminotransferase	0.0444534	0.01709	2.60113	0.00929205	0.4415166005987737
C_202	Alanine_aminotransferase	-0.0167141	0.00673605	-2.48129	0.013091499999999999	0.5775868073880901
DPB1_401	Alanine_aminotransferase	-0.00635071	0.00263557	-2.40962	0.0159698	0.6753339049707396
A_101	Alanine_aminotransferase	-0.00724227	0.00317551	-2.28067	0.022568900000000003	0.8833999949471429
A_2402	Alanine_aminotransferase	0.0110694	0.00490434	2.25707	0.0240041	0.9260255162302344
DPB1_1301	Alanine_aminotransferase	0.023578099999999998	0.010505200000000001	2.24443	0.024805599999999997	0.9483963816184073
DRB1_403	Alanine_aminotransferase	0.100189	0.0457744	2.18876	0.0286152	1.0
B_5001	Alanine_aminotransferase	0.0300254	0.013803200000000002	2.17524	0.0296126	1.0
B_2705	Alanine_aminotransferase	-0.0131734	0.00651208	-2.02292	0.0430824	1.0
DRB1_1103	Alanine_aminotransferase	-0.054685000000000004	0.027226499999999997	-2.00852	0.044588499999999996	1.0
A_3101	Alanine_aminotransferase	0.015481700000000001	0.00776728	1.9932	0.0462405	1.0
DPB1_201	Alanine_aminotransferase	-0.00859625	0.00434894	-1.9766299999999999	0.0480843	1.0
DRB1_1104	Alanine_aminotransferase	-0.0253633	0.0133869	-1.89464	0.0581408	1.0
DPA1_202	Alanine_aminotransferase	-0.013506799999999998	0.00729914	-1.8504599999999998	0.06424769999999999	1.0
DQB1_504	Alanine_aminotransferase	0.0624818	0.0339091	1.84263	0.0653841	1.0
DPB1_901	Alanine_aminotransferase	-0.0522028	0.0283433	-1.8418	0.0655048	1.0
DQA1_102	Alanine_aminotransferase	-0.00577761	0.00319942	-1.8058299999999998	0.07094539999999999	1.0
B_3901	Alanine_aminotransferase	-0.0284603	0.0163029	-1.74573	0.0808596	1.0
DQB1_303	Alanine_aminotransferase	0.00964387	0.00563444	1.7115900000000002	0.0869727	1.0
A_2901	Alanine_aminotransferase	0.0746477	0.0438448	1.7025400000000002	0.0886544	1.0
DPA1_103	Alanine_aminotransferase	0.0053045	0.00323615	1.63914	0.101185	1.0
DPB1_402	Alanine_aminotransferase	-0.00669423	0.00416416	-1.60758	0.107928	1.0
DQB1_301	Alanine_aminotransferase	-0.00528881	0.00331373	-1.5960299999999998	0.110482	1.0
A_2601	Alanine_aminotransferase	0.015537700000000002	0.00988642	1.57162	0.116039	1.0
DRB1_401	Alanine_aminotransferase	0.00589244	0.00411734	1.43113	0.152395	1.0
C_102	Alanine_aminotransferase	-0.00984377	0.00691721	-1.42308	0.15471300000000002	1.0
C_1203	Alanine_aminotransferase	-0.0107424	0.00757197	-1.4187	0.15598800000000002	1.0
B_3701	Alanine_aminotransferase	-0.015317500000000001	0.0110237	-1.3895	0.16468	1.0
B_1518	Alanine_aminotransferase	0.05251709999999999	0.038444599999999995	1.36605	0.171925	1.0
DQB1_603	Alanine_aminotransferase	0.00766013	0.00579247	1.32243	0.186027	1.0
B_4901	Alanine_aminotransferase	0.015184	0.0118506	1.28128	0.200096	1.0
C_704	Alanine_aminotransferase	-0.0119926	0.00954899	-1.25591	0.20915100000000003	1.0
C_1701	Alanine_aminotransferase	-0.028033299999999997	0.022339599999999998	-1.2548700000000002	0.209527	1.0
B_5801	Alanine_aminotransferase	0.022143	0.0178717	1.23899	0.21534899999999998	1.0
C_302	Alanine_aminotransferase	0.04320619999999999	0.0351799	1.22815	0.21939099999999997	1.0
DPB1_1901	Alanine_aminotransferase	-0.0191711	0.0173518	-1.10485	0.269227	1.0
DRB1_402	Alanine_aminotransferase	-0.0272062	0.0248627	-1.09426	0.27384200000000003	1.0
DPB1_1501	Alanine_aminotransferase	-0.016560299999999997	0.015214600000000002	-1.08845	0.276399	1.0
A_3402	Alanine_aminotransferase	0.045006800000000007	0.0416308	1.0810899999999999	0.279656	1.0
